id,eastings,northings,name
1,435382.951,114768.526,A1
1,435520.168,114891.156,A1
1,435543.379,114830.619,A1
1,435643.79,114821.638,A1
1,435584.864,114691.257,A1
2,435590.759,114689.049,A2
2,435649.702,114821.655,A2
2,435877.6,114800.455,A2
2,435816.253,114602.213,A2
3,435821.412,114600.005,A3
3,435884.012,114799.046,A3
3,436093.393,114776.558,A3
3,436045.432,114514.642,A3
4,436050.59,114512.434,A4
4,436273.139,114422.649,A4
4,436416.871,114747.918,A4
4,436099.441,114776.742,A4
4,436050.59,114512.434,A4
5,436427.253,114746.606,A5
5,436281.982,114419.706,A5
5,436510.735,114324.91,A5
5,436660.848,114724.494,A5
5,436427.253,114746.606,A5
6,436666.942,114724.286,A6
6,436516.322,114321.822,A6
6,436737.397,114232.037,A6
6,436827.898,114495.106,A6
6,436828.523,114708.066,A6
6,436666.942,114724.286,A6
7,435333.878,114142.247,A7
7,435582.656,114686.098,A7
7,435377.795,114764.103,A7
7,434890.895,114327.823,A7
7,435333.878,114142.247,A7
