object_type,object_status,table_name,column_name,data_type,is_primary_key,foreign_key,nullable,default_value,check_constraint,new_or_existing,deprecated,note
table,existing (extended),vsl_estate,id,bigint,YES,,YES,,,EXISTING,,"identity, existing"
table,existing (extended),vsl_estate,estate_code,text,,,YES,,,NEW,,"unique short code, e.g. VSL-EST-01"
table,existing (extended),vsl_estate,estate_name,text,,,NO,,,EXISTING,,existing
table,existing (extended),vsl_estate,registration_number,text,,,YES,,,NEW,,
table,existing (extended),vsl_estate,country,text,,,YES,,,NEW,,
table,existing (extended),vsl_estate,region,text,,,YES,,,NEW,,
table,existing (extended),vsl_estate,district,text,,,YES,,,NEW,,
table,existing (extended),vsl_estate,sub_county,text,,,YES,,,NEW,,
table,existing (extended),vsl_estate,parish,text,,,YES,,,NEW,,
table,existing (extended),vsl_estate,village,text,,,YES,,,NEW,,
table,existing (extended),vsl_estate,location,text,,,YES,,,EXISTING,,"existing free-text address, kept for backward compat"
table,existing (extended),vsl_estate,geom,"geometry(Polygon,4326)",,,YES,,,NEW,,"boundary — MISSING today, flagged by user as an important gap"
table,existing (extended),vsl_estate,gps_centroid,"geometry(Point,4326)",,,YES,,,NEW,,
table,existing (extended),vsl_estate,total_area_hectares,numeric,,,YES,,,NEW,,
table,existing (extended),vsl_estate,elevation_min_m,numeric,,,YES,,,NEW,,
table,existing (extended),vsl_estate,elevation_max_m,numeric,,,YES,,,NEW,,
table,existing (extended),vsl_estate,average_rainfall_mm,numeric,,,YES,,,NEW,,
table,existing (extended),vsl_estate,primary_soil_type,text,,,YES,,,NEW,,
table,existing (extended),vsl_estate,water_sources,text,,,YES,,,NEW,,
table,existing (extended),vsl_estate,established_date,date,,,YES,,,NEW,,
table,existing (extended),vsl_estate,ownership_type,text,,,YES,,"ownership_type IN ('owned','leased','other')",NEW,,
table,existing (extended),vsl_estate,owner_name,text,,,YES,,,NEW,,
table,existing (extended),vsl_estate,owner_contact_phone,text,,,YES,,,NEW,,
table,existing (extended),vsl_estate,owner_contact_email,text,,,YES,,,NEW,,
table,existing (extended),vsl_estate,estate_manager_id,uuid,,vsl_profiles.id,YES,,,NEW,,
table,existing (extended),vsl_estate,manager_name,text,,,YES,,,EXISTING,,"existing (typo 'nanager_name' in live DB — rename recommended, not applied)"
table,existing (extended),vsl_estate,manager_phone,text,,,YES,,,EXISTING,,existing
table,existing (extended),vsl_estate,status,text,,,YES,'active',"status IN ('active','inactive')",NEW,,
table,existing (extended),vsl_estate,notes,text,,,YES,,,NEW,,
table,existing (extended),vsl_estate,created_by,uuid,,auth.users.id,YES,,,NEW,,
table,existing (extended),vsl_estate,created_at,timestamptz,,,YES,now(),,EXISTING,,existing
table,existing (extended),vsl_estate,updated_at,timestamptz,,,YES,now(),,NEW,,
table,existing (extended),vsl_estate,updated_by,uuid,,auth.users.id,YES,,,NEW,,
table,existing (extended),vsl_blocks,id,uuid,YES,,YES,gen_random_uuid(),,EXISTING,,
table,existing (extended),vsl_blocks,estate_id,bigint,,vsl_estate.id,YES,,,NEW,,proper FK — currently only estate_name text exists
table,existing (extended),vsl_blocks,block_code,text,,,NO,,,EXISTING,,
table,existing (extended),vsl_blocks,block_name,text,,,NO,,,EXISTING,,
table,existing (extended),vsl_blocks,estate_name,text,,,YES,,,EXISTING,YES,"denormalized text; kept for backward compat, superseded by estate_id join"
table,existing (extended),vsl_blocks,expected_area_acres,numeric,,,YES,,,EXISTING,,
table,existing (extended),vsl_blocks,geometry_status,text,,,YES,'pending',"geometry_status IN ('pending','captured')",EXISTING,,
