table,column,type,nullable,default,generated,check_constraint,is_primary_key,foreign_key_ref
vsl_profiles,id,uuid,NO,,NO,,YES,auth.users.id
vsl_profiles,email,text,NO,,NO,,NO,
vsl_profiles,role,text,NO,,NO,"role = ANY (ARRAY['ADMIN'::text, 'SURVEYOR'::text, 'MANAGMENT'::text])",NO,
vsl_profiles,created_at,timestamptz,NO,now(),NO,,NO,
vsl_profiles,updated_at,timestamptz,NO,now(),NO,,NO,
vsl_blocks,id,uuid,NO,gen_random_uuid(),NO,,YES,
vsl_blocks,block_code,text,NO,,NO,,NO,
vsl_blocks,block_name,text,NO,,NO,,NO,
vsl_blocks,expected_area_acres,numeric,YES,,NO,,NO,
vsl_blocks,geom,geometry,YES,,NO,,NO,
vsl_blocks,created_by,uuid,YES,,NO,,NO,auth.users.id
vsl_blocks,updated_by,uuid,YES,,NO,,NO,auth.users.id
vsl_blocks,created_at,timestamptz,NO,now(),NO,,NO,
vsl_blocks,updated_at,timestamptz,NO,now(),NO,,NO,
vsl_blocks,cultivation_status,text,NO,'not_in_cane'::text,NO,"cultivation_status = ANY (ARRAY['not_in_cane'::text, 'prepared'::text, 'planted'::text, 'standing'::text, 'harvested'::text, 'replant_renovation'::text])",NO,
vsl_blocks,cultivation_notes,text,YES,,NO,,NO,
vsl_blocks,cultivation_updated_at,timestamptz,YES,,NO,,NO,
vsl_blocks,cultivation_updated_by,uuid,YES,,NO,,NO,auth.users.id
vsl_blocks,location_address,text,YES,,NO,,NO,
vsl_blocks,soil_type,text,YES,,NO,,NO,
vsl_blocks,irrigation_type,text,YES,,NO,"(irrigation_type = ANY (ARRAY['drip'::text, 'furrow'::text, 'overhead'::text, 'rainfed'::text, ''::text])) OR irrigation_type IS NULL",NO,
vsl_blocks,soil_ph,numeric,YES,,NO,,NO,
vsl_blocks,manager_name,text,YES,,NO,,NO,
vsl_blocks,manager_phone,text,YES,,NO,,NO,
vsl_blocks,ownership,text,YES,,NO,"(ownership = ANY (ARRAY['bought'::text, 'rented'::text, ''::text])) OR ownership IS NULL",NO,
vsl_blocks,estate_id,bigint,YES,,NO,,NO,public.vsl_estate.id
vsl_blocks,geometry_status,text,YES,"
CASE
    WHEN (geom IS NOT NULL) THEN 'captured'::text
    ELSE 'pending'::text
END",YES,,NO,
vsl_parcels,id,uuid,NO,gen_random_uuid(),NO,,YES,
vsl_parcels,block_id,uuid,NO,,NO,,NO,public.vsl_blocks.id
vsl_parcels,parcel_code,text,NO,,NO,,NO,
vsl_parcels,parcel_name,text,YES,,NO,,NO,
vsl_parcels,expected_area_acres,numeric,YES,,NO,,NO,
vsl_parcels,geom,geometry,YES,,NO,,NO,
vsl_parcels,created_by,uuid,YES,,NO,,NO,auth.users.id
vsl_parcels,updated_by,uuid,YES,,NO,,NO,auth.users.id
vsl_parcels,created_at,timestamptz,NO,now(),NO,,NO,
vsl_parcels,updated_at,timestamptz,NO,now(),NO,,NO,
vsl_parcels,cultivation_status,text,NO,'not_in_cane'::text,NO,"cultivation_status = ANY (ARRAY['not_in_cane'::text, 'prepared'::text, 'planted'::text, 'standing'::text, 'harvested'::text, 'replant_renovation'::text])",NO,
vsl_parcels,cultivation_notes,text,YES,,NO,,NO,
vsl_parcels,cultivation_updated_at,timestamptz,YES,,NO,,NO,
vsl_parcels,cultivation_updated_by,uuid,YES,,NO,,NO,auth.users.id
vsl_parcels,ratoon_number,integer,YES,0,NO,,NO,
vsl_parcels,planting_date,date,YES,,NO,,NO,
vsl_parcels,expected_harvest_date,date,YES,,NO,,NO,
vsl_parcels,geometry_status,text,YES,"
CASE
    WHEN (geom IS NOT NULL) THEN 'captured'::text
    ELSE 'pending'::text
END",YES,,NO,
vsl_parcels,current_activity_id,uuid,YES,,NO,,NO,public.vsl_activities.id
vsl_parcels,current_activity_name,text,YES,,NO,,NO,
vsl_parcels,current_season_id,uuid,YES,,NO,,NO,public.vsl_parcel_seasons.id
vsl_alerts,id,uuid,NO,gen_random_uuid(),NO,,YES,
vsl_alerts,layer_type,text,NO,,NO,"layer_type = ANY (ARRAY['ESTATE'::text, 'BLOCKS'::text, 'PARCELS'::text])",NO,
vsl_alerts,target_id,text,NO,,NO,,NO,
vsl_alerts,note,text,NO,,NO,,NO,
vsl_alerts,status,text,NO,'open'::text,NO,"status = ANY (ARRAY['open'::text, 'investigating'::text, 'resolved'::text])",NO,
vsl_alerts,created_by,uuid,YES,,NO,,NO,auth.users.id
vsl_alerts,resolved_by,uuid,YES,,NO,,NO,auth.users.id
